Logo,Name,Address,Phone,Board or Medium,Overview,Image,Reviews
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/14368-medium.jpg,"OakridgeInternationalSchool,Hyderabad–UrbanPro","Address:Khajaguda,NanakramgudaRoadHyderabad-500008Locality:Gachibowli(FindmoreGachibowlischools)Landmark:Cyberabad",Phone:8501876622                                                                            18002008171,"CBSE,IB,IGCSE","OverviewOakridge has two world-class campuses located in Gachibowli and BachupallyOakridge Gachibowli (Newton) is our state-of-the-art campus with a huge spread across 5.11 Acres. It has the proud privilege of being the First IB School in Andhra Pradesh & 2nd Largest IB School in India. The campus has been listed among the top 5 international schools by Times School Survey consecutively for last 3 years.Oakridge Bachupally (Einstein) spread across 8.5 acres is a scenic and beautiful campus that stands tall amidst the surroundings. The campus has been conceived to meet the highest educational expectations of Hyderabad’s rapidly growing multinational community.DetailsSchool days:                        5 days a weekSchool timings:8 AM to 3PMPrincipal:Ms. Hemalatha SanjayYear Established:2001Extra-curricular Activities:As part of holistic learning experience, your child is encouraged to demonstrate her talent, skills and interest in activities outside classroom. Our academic calendar is filled with activities in sports, arts, culture, music, dance, vocals, visual arts, theater and many more areas beyond academics. Your child can choose activities as per her Interests and we will provide mentorship, resources and support to help her achieve highest success at national and international level.Infrastructure:Oakridge – Hyderabad Campus provides a balanced environment focused on shaping the children to fit into the world of tomorrow. Designed on international standards and keeping in mind the multi-faceted needs of the children; the school has spacious, airy classrooms with cutting-edge multimedia facilities.Children here gain hands-on-experience at par with the international standards of education.In Indoor Facilities We have:Multi-facility ClassroomsState-of-the-art LaboratoriesAuditoriumGymnasiumActivity roomsInfirmaryClinical Psychology UnitDining Hall and kitchenFitness CentreToy libraryAnd In OutDoor Facilities:Basketball CourtsTennis CourtsCricket GroundSkating RinkRock ClimbingFootball GroundSwimming PoolChildren’s Recreation ParkGames Field for AthleticsAdditional Details:Oakridge Difference:Ranked No.1 by The Times of India Schools Survey featured among India's Top-10 Schools by Education World Magazine.The School is the brain child of Mr. Shomie Das- Director Education, academic consultant for more than 30 school projects in India and abroad.Ranked No.1 in the India's Best Places to Work 2016 in the education sector by Economic Times and is the home to the most amazingly dedicated and creative faculty.A Rich Co-Curricular Enrichment Program (CCEP), that supports the main teaching by invoking the creativity and hidden skills in every student.Oakridge has a Unique Integrated System of Learning using “inquiry” as a vehicle of learning.Strategic developmental programs in association with reputed International Universities like Oxford  Columbia are conducted on-campusAdmission Details:Academics:-IB primary Years program – Nursery to Grade 5.IGCSE program – Grade 6 to Grade 10.CBSE Program – Grade 6 to 12.Admission Process for Oakridge International School, HyderabadFor 2017-2018Step-1:Visit the School Campus-Visiting the school campus is a crucial stage in selecting the right school for your kid.Step-2Submit Application Form:Fill in the Application Form and submit it with the required documents. You can submit the application form during your School Visit also.Step-3Observation:After submitting the application form, we will schedule an ‘Observation’ for your child.Step-4Admission:-After successful completion of above process you need to deposit the term fee.Admission process is completed and you and your child become the part of Oakridge Family.Step-5Post Admission:-We acknowledge the fact that starting a new school is a BIG change for your kid and you.For more information:-http://oakridge.in/admissions","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50302-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50305-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50306-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50304-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50303-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50301-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/50300-large.jpg']",[]
https://c.urbanpro.com/assets/new-ui/institute-100X100-ae57a720944cb2ea51222c07b965773b.png,"IdealPublicSchool,Hyderabad–UrbanPro","Address:11-5-145/1-A,RedHillsHyderabad-500004Locality:RedHills(FindmoreRedHillsschools)",Phone:(040) 23372335                                                                            9985973221,"Central,State",OverviewDetails,[],[]
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/11456-medium.bmp,"ManthanInternationalSchool,Hyderabad–UrbanPro","Address:#1150AyyappaSociety,MainRoad,MadhapurHyderabad-500081Locality:Madhapur(FindmoreMadhapurschools)",Phone:+91-40-42206060                                                                            +91-8008883223,"IGCSE,CBSE","OverviewManthan is promoted and run by a group of professionals with a passion for education. It is set up with a mission to build socially aware and responsible citizens. The vision of the school is to provide all round education and nurture a child’s innate curiosity and help the child achieve excellenceDetailsSchool days:                        5 Day(s)Extra-curricular Activities:Dance & MusicArt & CraftInfrastructure:Class roomsLibraryPlay AreaCanteenComputer LabScience LabStaff RoomTeaching Aids / Resource roomInfirmaryAdditional Details:Admissions for Gachibowli campus will start only next year, eventually this campus will have till class 12. The students from Madhapur after class 7 can seamlessly move to Gachibowli campus.You could visit the school Monday to Saturday between 8.30 am and 5.30 pm, however it is advisable to visit the school during school hours which is from 8.30 am to 2.30 pm between Monday and Friday.Admission Details:Once the parent and the school agrees on the class the child will join and a joint action plan for furthering the child's education a formal meeting will be held between the parents and the School Leadership Team to admit the child. No child is rejected on the basis of their parents education or standing. The admission and refundable deposit along with first term fee need to be paid at this stage, for the parents who opt to pay the fee monthly they need to pay the admission and refundable deposit and give post dated cheques for monthly payments. For more details pl refer to the Fee Structure.No requirement of TCs till class 1, only birth certificates will be checked. For class 1 upwards you should ideally carry the certificates and mark sheets issued by previous school along with the birth certificate. Photographs of child and parents will be required too.Fees:Annual Fee and Food Fee Rs 65,000",[],[]
https://c.urbanpro.com/assets/new-ui/institute-100X100-ae57a720944cb2ea51222c07b965773b.png,"JubileeHillsPublicSchool,Hyderabad–UrbanPro","Address:RoadNo:71,BLOCKIII,JubileeHillsHyderabad-500033Locality:JubileeHills(FindmoreJubileeHillsschools)",Phone:040-23548584                                                                            040-23607797,CBSE,"OverviewLocated in West Hyderabad, Jubilee Hills Public School was incorporated in 1986. It is a CBSE affiliated school which has a strength of 75 teachers 1894 pupils.DetailsYear Established:1986",[],"['dirty school', 'The school has all infrastructure but focuses mainly on extra curricular activities. Discipline is at the bottom. Prinicipal is very illogical, impractical and is always defending her stand. No listening skills at all at teachers , staff and principal level too. very rude.', 'Not a school to be recommended.', 'this is a very worest schools, the chairman Mr. Murali mukundam of Jubilee hills public school is having 2 families and he will not give any respect to teachers/parents/childs, and will behave very aragently....  he will not setlle the teachers salaries also, and the total management of the school is also very inefficient..... in nature.', 'This school is located in Jubilee school and is being headed by the people who are not having minumum sence of humour..... the school Principal and also academic director are selected from the dustbins, they are not having any knowledge about the schools.....  the chairman murali lukundam is a week character in nature as he is handling 2 families and will misbehave with the teachers who are woking there......', '', 'Finally this school atmosphere was totally collapsed....... better to have an other option to join your child in the school or to join as a teacher in the school....', 'This school calls itself ""Bound to Traditions"" is a corporate house masquerading as a public school.', '', 'The website shows all pretty figures, but the real deal is there are 45-50 students per class, teachers are not well trained, Classrooms (especially pre-primary and primary) are not ventilated, and toilets are not to the standard to Win any award.', '', 'Preprimary had 24 kids in LKG and UKG suddenly blew upto 48 kids in class 1. My daughter now lacks that minimum attention she needs and schools responsibility is now dumped on parents. Thanks to their appetite of accepting more and more kids with the help of generous donations they get.', '', 'Please resist yourself from joining you kids, you can afford a decent international school at that price.']"
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/11414-medium.bmp,"SanctaMariaInternationalSchool,Hyderabad–UrbanPro","Address:#106/107,SerilingampallyHyderabad-500019Locality:Serilingampally(FindmoreSerilingampallyschools)",Phone:+91-40-64616000 / 64617000 / 64618000,IGCSE,"OverviewSancta Maria is a part of the well-respected St. Mary’s Educational Society. Founded in 1982, the Society has under its fold, St. Mary’s Junior College, Basheerbagh and St. Mary’s College, Yousufguda – institutions that have been making a mark in quality education for over 27 years now. So, a combination of experience and in-depth expertise in the field of education guides Sancta Maria International SchoolDetailsSchool days:                        Sunday holidaySchool timings:8:30 am - 2:30 pm,Year Established:1982Extra-curricular Activities:MusicDanceDramaVisual artsSportsInfrastructure:ClassroomsLibraryAmphitheatreSports facilitiesAdditional Details:The name Sancta Maria is a Latin title for Mary the mother of God. It means Holy Mary or simply St. Mary.Sancta Maria is the foundation to a confident future. The red box represents the world. The three strokes represent the road to knowledge, progress and excellence. The colour red stands for energy, enthusiasm and passion.Sancta Maria is driven by the motto “In Omnia Excellentia”, which means, Excellence in Everything.Admission Details:The Following Process is to be followed by Parents seeking admission for their children at Sancta Maria International School, Hyderabad.Contact the Students' Officer at  the School phone numbers for a counseling session with the Admissions Office/ PrincipalComplete the Application for Admission and submit at the Admissions office. Submission of the Application for Admission will be considered as a registration .Contact the School Admission office for Admission Interview date and timeCheck the Admission Display List on the dates given by the Admissions officeContact the Accounts office for payment of fees",[],[]
https://c.urbanpro.com/assets/new-ui/institute-100X100-ae57a720944cb2ea51222c07b965773b.png,"SuryamModelSchool,Hyderabad–UrbanPro","Address:PlotNo.493,KPHBColony,KukatpallyHyderabad-500072Locality:Kukatpally(FindmoreKukatpallyschools)Landmark:NearJNTUCollege",Phone:(040) 20046333                                                                            7702207179,StateBoard,OverviewSuryam Model School Kukatpally -School success story has been one long battle against many ads during the steady climb uphill.ne of the few instances where an institution which was started by a single individual grew into a successful High School.and improved skills.the teachers and staff impart their knowledge and valuesDetails,"['https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/12240-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/12239-large.jpg']","['mother told me school is like temple, wen i saw suryam i felt its true..................what can i say more than this................................', 'my mother says the school that which make you a mad and get killed your self is suryam', 'where we can learn knowledge with attitude is suryam ..... i saw so many schools but i didnt see school who can care the children more compare to parents.... ramababu ch ( S.I)']"
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/7253-medium.jpg,"BlueBlocks,Hyderabad–UrbanPro","Address:M.I.G.3,GachibowliHyderabad-500032Locality:Gachibowli(FindmoreGachibowlischools)Landmark:OppositeD.L.F.","Phone:+91-40-64627415                                                                            +91-9000955050, +91-9000955051",,"OverviewWe are an authorised Montessori pre-school, wherein we follow the pedagogy and methodology formulated by Dr Maria Montessori.""Birth to six are the formative years, crucial to laying the foundation of the future adult."" Dr Maria Montessori.In our education system we cater to the child's overall personality like, Intellectual, Social, Emotional and Physical. The various concepts like Sensorial, Mathematics, Language, Culture and Practical Life Skills are given to the child's hands and senses through scientifically designed equipment.The environment that the child is exposed to at Blue Blocks is rich in elements like freedom, structure, order, nature and reality, developmental equipment and activities and a peer group. According to Dr Maria Montessori, these elements make up an ideal environment for the child's optimum development.DetailsManagement: Pavan GoyalAdditional Details:The mission of Blue Blocks Self-learning Pre-school is to provide an empowering and rich environment to the child, inside of which the child develops independently into an integrated personality. It is also our endeavour to educate parents on the various powers and potentials that children have in the first six years of life and how children can be supported at home for optimum development.",['https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/419-large.jpg'],[]
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/7254-medium.jpg,"BrahmamTalentSchool,Hyderabad–UrbanPro","Address:PlotNo.102,MadhuraNagar,MehdipatnamHyderabad-500028Locality:Mehdipatnam(FindmoreMehdipatnamschools)Landmark:NearIndoorStadium","Phone:+91-40-23818443, +91-40-23811392","CBSE,ICSE","OverviewThe Brahmam Talent High School is recognized by the Government of Andhra PradeshHowever, as part of the teaching methodology and in keeping with our goal of making globally competitive students, the school has designed its own curriculum incorporating best elements from other curriculums like CBSE, ICSE, IB. This approach is one of the reasons for students’ continuous success in national and international competitive exams.DetailsYear Established:2002",['https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/photo/420-large.jpg'],[]
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/1386-medium.jpg,"ImsaInternationalResidentialSchool,Hyderabad–UrbanPro","Address:351AshokNagar,MainRoadMusheerabadHyderabad-500020Locality:AshokNagar(FindmoreAshokNagarschools)",Phone:9885089092,ICSESchool,"OverviewThis academy is truly modern and first resourceful Residential School in Indiafor Pre K to 12, located in a unique setting in the town of Peddapuram, near Godavari River with its own rich history over the centuries for its name for arts and education. On the east, in eight miles you will see the beautiful beaches of Bay of Bengal and North West part; you will see the rich agricultural life with sugar cane groves and rice fields.The academy is built on ten beautifully landscaped acres for only 300 residential students, who can benefit from their creativity and originality to develop into leaders. IMSA is a unique academy in India where the campus is limited to small numbers to pay special attention to develop and enrich their personality.You will also look inward at IMSA and gain a new perspective on who you are and how you fit into the global and digital world and at the same time stay in touch with your roots in the community.You will live in a place where you can see in distance, the eastern mountain ranges with its rich forest preserves to the west and the beautiful beaches of Bay of Bengal towards east. The campus has been purpose built with digital class rooms, Multimedia seminar rooms, Digital Resource Centers, Dormitories which all together will provide a warm, rich stimulating environment.IMSA has well qualified and highly motivated staffs, who believe that each student has a unique talent which it is their job to find and nurture, a hard working student body and a warm family atmosphere make for a happy, dynamic and successful academy.Details",[],['good']
https://s3-ap-southeast-1.amazonaws.com/tv-prod/school/logo/8822-medium.bmp,"KidzeeSanskarMontessoriandPlayschool,Kolkata–UrbanPro","Address:#P-90GroundFloorC.I.TScheme6M/S,JalanKunj,KankurgachiKolkata-700054Locality:Kankurgachi(FindmoreKankurgachischools)Landmark:NearHutchShop",Phone:+91-33-32958844                                                                            +91-9830706173,,"OverviewKidzee is the largest chain of the pre-school in Asia. With 600 + pre-school Kidzee has reached out to 200000 parents & has been a defining body child development. Kidzee is present across 275 cities in India. It houses PG nursery & KG program for the age group beginning 1.5 years to 5 years. Zee Learn run India's No. 1 chain of pre-school, Kidzee with 623 operational pre-school in more than 275 cities. Kidzee is a pioneer in organized and standardized pre-school in the country.DetailsSchool days:                        Monday - SaturdaySchool timings:10:00 am - 5:00 pmExtra-curricular Activities:* Dance* Music* Number Work* GK* ArtAdmission Details:PLAYGROUP- 1.6 to 2.6 YrsNURSERY - 2.6 to 3.6 YrsJUNIOR KG - 3.6 to 4.6 YrsSENIOR KG - 4.6 to 5.6 Yrs",[],[]
